Case_ID,Suspect_ID,First_Name,Middle_Name,Last_Name,Alias,Sex,Race,Nationality,Date_of_Birth,Age,Height_cm,Weight_kg,Eye_Color,Hair_Color,Skin_Tone,Blood_Type,Dominant_Hand,Scars,Tattoos,Facial_Hair,Occupation,Marital_Status,Address,City,Province,Postal_Code,Phone_Number,Crime_Type,Crime_Severity,Case_Status,Officer_Assigned,Evidence_Count,Fingerprint_Match,DNA_Match,Arrest_Date,Case_Open_Date,Case_Close_Date,Sentence_Years,Mugshot_ID,Notes
C100000,S200000,Param,,Smith,,Female,Latino,Canadian,2005-02-16,21,196,90,Hazel,Blonde,Dark,O+,Left,None,None,None,Unknown,Single,689 Main St,Ottawa,Ontario,L47A9,555-2132,Robbery,3,Under Investigation,A. Brown,24,Yes,Yes,2024-11-12,2024-11-11,,4,MG300000,Synthetic training record
C100001,S200001,Param,,Johnson,,Male,Middle Eastern,Canadian,1974-05-03,52,187,56,Brown,Black,Light,O+,Left,Forearm scar,Tribal,None,Unknown,Single,733 Main St,Toronto,Ontario,L93A8,555-6298,Robbery,1,Open,S. Patel,4,Yes,Yes,2024-02-17,2024-02-16,,11,MG300001,Synthetic training record
C100002,S200002,Noah,,Brown,,Female,Latino,Canadian,1973-12-19,53,178,74,Hazel,Blonde,Dark,A+,Left,None,Tribal,Beard,Unknown,Married,354 Main St,Toronto,Ontario,L46A5,555-1231,Fraud,3,Open,M. Singh,5,Yes,No,2025-07-10,2025-07-01,,14,MG300002,Synthetic training record
C100003,S200003,Sophia,,Wilson,,Male,Black,Canadian,1990-12-21,36,180,99,Hazel,Black,Medium,B+,Right,None,Rose,None,Unknown,Single,598 Main St,Toronto,Ontario,L60A9,555-6732,Theft,4,Closed,M. Singh,21,Yes,No,2026-04-13,2026-04-13,2026-10-17,14,MG300003,Synthetic training record
C100004,S200004,Priya,,Martin,,Female,Middle Eastern,Canadian,1965-11-12,61,162,103,Hazel,Brown,Light,B+,Right,None,Tribal,Beard,Unknown,Married,174 Main St,Mississauga,Ontario,L74A8,555-9649,Vandalism,4,Open,A. Brown,11,No,No,2025-10-12,2025-10-02,,15,MG300004,Synthetic training record
C100005,S200005,Sophia,,Patel,,Female,Indigenous,Canadian,1990-11-25,36,196,87,Brown,Gray,Light,O+,Left,None,Tribal,None,Unknown,Married,558 Main St,Mississauga,Ontario,L52A5,555-2764,Fraud,1,Under Investigation,L. Chen,3,Yes,Yes,2025-09-05,2025-08-26,,16,MG300005,Synthetic training record
C100006,S200006,Emma,,Singh,,Female,Indigenous,Canadian,2002-01-28,24,150,97,Green,Brown,Light,O+,Left,Forearm scar,Rose,Beard,Unknown,Married,20 Main St,Ottawa,Ontario,L64A0,555-5325,Burglary,2,Closed,J. Carter,23,Yes,No,2024-04-21,2024-04-15,2024-07-31,2,MG300006,Synthetic training record
C100007,S200007,Mia,,Williams,,Female,Indigenous,Canadian,1999-02-17,27,180,67,Blue,Gray,Light,AB+,Right,Forearm scar,Tribal,Mustache,Unknown,Married,676 Main St,Hamilton,Ontario,L78A3,555-2633,Robbery,2,Open,J. Carter,20,Yes,No,2025-08-02,2025-07-23,,18,MG300007,Synthetic training record
C100008,S200008,Priya,,Smith,,Male,Indigenous,Canadian,2005-03-07,21,198,117,Blue,Brown,Light,B+,Right,Small scar,Tribal,Beard,Unknown,Married,119 Main St,Hamilton,Ontario,L61A2,555-1789,Theft,4,Closed,M. Singh,23,No,No,2025-09-06,2025-09-02,2026-05-10,18,MG300008,Synthetic training record
C100009,S200009,Aiden,,Taylor,,Female,East Asian,Canadian,1976-10-02,50,161,60,Blue,Gray,Dark,A+,Left,Small scar,None,Beard,Unknown,Single,369 Main St,Ottawa,Ontario,L69A6,555-7964,Assault,4,Closed,S. Patel,23,Yes,Yes,2025-01-19,2025-01-13,2025-08-07,10,MG300009,Synthetic training record
C100010,S200010,Ethan,,Smith,,Male,East Asian,Canadian,1956-08-19,70,164,58,Hazel,Blonde,Medium,A-,Left,Small scar,Dragon,Mustache,Unknown,Single,346 Main St,Hamilton,Ontario,L72A6,555-3094,Vandalism,2,Open,A. Brown,5,No,No,2024-02-28,2024-02-23,,13,MG300010,Synthetic training record
C100011,S200011,Liam,,Williams,,Female,Black,Canadian,1992-04-19,34,195,60,Brown,Brown,Light,A-,Left,None,None,Beard,Unknown,Single,530 Main St,Brampton,Ontario,L27A8,555-1962,Burglary,2,Closed,L. Chen,20,No,No,2024-10-29,2024-10-22,2025-02-17,14,MG300011,Synthetic training record
C100012,S200012,Priya,,Patel,,Male,White,Canadian,2006-09-13,20,174,57,Brown,Red,Light,B+,Left,None,None,Mustache,Unknown,Single,376 Main St,Brampton,Ontario,L95A2,555-6764,Assault,4,Open,M. Singh,17,No,Yes,2026-03-04,2026-03-01,,17,MG300012,Synthetic training record
C100013,S200013,Olivia,,Singh,,Male,Black,Canadian,1964-10-19,62,164,59,Blue,Black,Light,A-,Right,None,None,Mustache,Unknown,Married,408 Main St,Toronto,Ontario,L10A4,555-9397,Burglary,3,Closed,A. Brown,21,Yes,No,2025-07-03,2025-06-25,2025-08-12,6,MG300013,Synthetic training record
C100014,S200014,Ava,,Patel,,Female,South Asian,Canadian,1976-05-28,50,152,101,Brown,Brown,Light,A+,Right,Forearm scar,Dragon,Mustache,Unknown,Single,363 Main St,Ottawa,Ontario,L35A2,555-9005,Burglary,5,Closed,M. Singh,22,No,No,2025-02-26,2025-02-19,2025-10-20,5,MG300014,Synthetic training record
C100015,S200015,Emma,,Chen,,Female,White,Canadian,1998-06-07,28,161,94,Blue,Brown,Medium,AB+,Left,Small scar,Dragon,None,Unknown,Married,81 Main St,London,Ontario,L42A4,555-1783,Theft,2,Closed,M. Singh,24,Yes,No,2026-04-01,2026-03-22,2026-05-13,16,MG300015,Synthetic training record
C100016,S200016,Lucas,,Taylor,,Male,White,Canadian,1999-01-10,27,158,70,Blue,Black,Light,A-,Left,Small scar,Dragon,Mustache,Unknown,Married,579 Main St,London,Ontario,L80A7,555-7903,Fraud,5,Open,M. Singh,5,Yes,No,2026-02-16,2026-02-08,,6,MG300016,Synthetic training record
C100017,S200017,Priya,,Lee,,Female,Middle Eastern,Canadian,1964-11-25,62,152,89,Brown,Blonde,Light,A-,Left,Forearm scar,None,Mustache,Unknown,Married,53 Main St,Mississauga,Ontario,L27A3,555-7747,Vandalism,2,Under Investigation,S. Patel,17,No,No,2024-10-19,2024-10-12,,18,MG300017,Synthetic training record
C100018,S200018,Priya,,Wilson,,Female,Latino,Canadian,1980-05-05,46,188,63,Green,Brown,Light,AB+,Left,Forearm scar,Rose,Beard,Unknown,Married,176 Main St,Ottawa,Ontario,L44A8,555-2411,Robbery,3,Open,J. Carter,3,Yes,Yes,2026-02-01,2026-01-26,,2,MG300018,Synthetic training record
C100019,S200019,Lucas,,Smith,,Female,East Asian,Canadian,2008-06-25,18,176,51,Blue,Black,Light,A+,Right,Small scar,Dragon,Mustache,Unknown,Single,59 Main St,London,Ontario,L96A6,555-5494,Robbery,4,Open,A. Brown,24,No,No,2025-10-23,2025-10-21,,0,MG300019,Synthetic training record
C100020,S200020,Ethan,,Garcia,,Male,Latino,Canadian,1976-05-04,50,195,55,Blue,Black,Medium,O+,Left,Small scar,Dragon,Mustache,Unknown,Married,211 Main St,London,Ontario,L94A8,555-2710,Robbery,5,Under Investigation,S. Patel,13,No,No,2024-08-25,2024-08-23,,0,MG300020,Synthetic training record
C100021,S200021,Liam,,Brown,,Male,South Asian,Canadian,1964-04-13,62,190,72,Hazel,Brown,Medium,AB+,Right,Forearm scar,Dragon,None,Unknown,Married,559 Main St,London,Ontario,L71A2,555-7332,Fraud,4,Under Investigation,L. Chen,19,Yes,No,2025-12-19,2025-12-17,,0,MG300021,Synthetic training record
C100022,S200022,Ethan,,Singh,,Male,White,Canadian,1981-01-18,45,192,102,Brown,Brown,Dark,AB+,Left,None,Rose,Mustache,Unknown,Single,962 Main St,Toronto,Ontario,L57A7,555-2169,Theft,1,Open,A. Brown,6,Yes,Yes,2024-04-03,2024-03-24,,17,MG300022,Synthetic training record
C100023,S200023,Olivia,,Patel,,Male,Indigenous,Canadian,2003-01-09,23,198,57,Green,Blonde,Dark,AB+,Right,Small scar,Tribal,Beard,Unknown,Single,330 Main St,London,Ontario,L78A3,555-5519,Vandalism,1,Open,A. Brown,19,No,No,2025-02-01,2025-01-22,,20,MG300023,Synthetic training record
C100024,S200024,Amelia,,Williams,,Female,Middle Eastern,Canadian,1979-11-02,47,181,77,Hazel,Gray,Light,A+,Left,None,Dragon,Mustache,Unknown,Single,417 Main St,Mississauga,Ontario,L34A8,555-5473,Assault,3,Under Investigation,A. Brown,16,Yes,No,2024-10-23,2024-10-20,,16,MG300024,Synthetic training record
C100025,S200025,Param,,Lee,,Female,Latino,Canadian,1975-01-02,51,167,86,Green,Blonde,Medium,A+,Right,Small scar,Rose,Mustache,Unknown,Single,207 Main St,Ottawa,Ontario,L67A3,555-8377,Vandalism,3,Under Investigation,M. Singh,22,No,Yes,2026-03-12,2026-03-12,,7,MG300025,Synthetic training record
C100026,S200026,Liam,,Brown,,Female,Latino,Canadian,1961-09-02,65,187,79,Green,Brown,Light,B+,Left,Forearm scar,None,Mustache,Unknown,Single,581 Main St,Mississauga,Ontario,L19A2,555-1080,Cybercrime,5,Closed,M. Singh,23,Yes,Yes,2025-09-24,2025-09-19,2026-01-14,2,MG300026,Synthetic training record
C100027,S200027,Sophia,,Taylor,,Female,Black,Canadian,1962-01-07,64,156,112,Brown,Gray,Light,A-,Left,Forearm scar,Rose,None,Unknown,Single,340 Main St,London,Ontario,L24A2,555-5203,Assault,1,Closed,J. Carter,9,Yes,Yes,2024-12-28,2024-12-18,2025-01-09,20,MG300027,Synthetic training record
C100028,S200028,Liam,,Lee,,Male,Indigenous,Canadian,1983-12-18,43,185,73,Hazel,Brown,Light,AB+,Left,Forearm scar,Tribal,Beard,Unknown,Married,298 Main St,Ottawa,Ontario,L42A5,555-6973,Burglary,1,Under Investigation,S. Patel,25,Yes,Yes,2025-11-10,2025-11-09,,12,MG300028,Synthetic training record
C100029,S200029,Mia,,Singh,,Male,Indigenous,Canadian,1970-09-03,56,182,81,Hazel,Blonde,Dark,A+,Left,Small scar,Dragon,None,Unknown,Married,877 Main St,Mississauga,Ontario,L70A9,555-5115,Robbery,4,Open,L. Chen,14,Yes,No,2026-01-26,2026-01-23,,6,MG300029,Synthetic training record
C100030,S200030,Ethan,,Singh,,Female,Black,Canadian,1968-12-08,58,191,96,Brown,Red,Medium,B+,Right,None,Dragon,Beard,Unknown,Married,357 Main St,Brampton,Ontario,L64A0,555-9515,Assault,3,Under Investigation,A. Brown,24,No,No,2025-01-10,2025-01-05,,11,MG300030,Synthetic training record
C100031,S200031,Ava,,Lee,,Female,East Asian,Canadian,2003-07-02,23,185,119,Green,Blonde,Light,A-,Right,Small scar,Rose,Beard,Unknown,Married,476 Main St,London,Ontario,L38A8,555-4896,Theft,2,Open,M. Singh,19,No,No,2024-06-18,2024-06-12,,20,MG300031,Synthetic training record
C100032,S200032,Aiden,,Smith,,Male,East Asian,Canadian,1971-11-04,55,163,105,Green,Red,Medium,A-,Right,Forearm scar,None,None,Unknown,Single,667 Main St,Toronto,Ontario,L33A2,555-6343,Robbery,4,Open,A. Brown,8,No,No,2025-03-08,2025-03-03,,9,MG300032,Synthetic training record
C100033,S200033,Ava,,Taylor,,Female,South Asian,Canadian,1974-02-17,52,199,82,Blue,Black,Dark,A-,Right,Forearm scar,Dragon,Mustache,Unknown,Single,516 Main St,London,Ontario,L16A6,555-6268,Vandalism,2,Open,A. Brown,2,Yes,No,2025-01-03,2024-12-26,,13,MG300033,Synthetic training record
C100034,S200034,Ethan,,Singh,,Female,South Asian,Canadian,1957-09-07,69,167,102,Green,Brown,Dark,AB+,Left,Small scar,Rose,Mustache,Unknown,Married,277 Main St,Mississauga,Ontario,L19A4,555-2110,Vandalism,4,Open,L. Chen,23,Yes,Yes,2024-04-20,2024-04-20,,12,MG300034,Synthetic training record
C100035,S200035,Emma,,Martin,,Female,White,Canadian,1968-10-26,58,156,97,Blue,Red,Light,AB+,Left,None,None,None,Unknown,Single,37 Main St,Toronto,Ontario,L73A0,555-1303,Cybercrime,3,Closed,A. Brown,12,Yes,No,2024-11-10,2024-10-31,2025-02-12,17,MG300035,Synthetic training record
C100036,S200036,Sophia,,Williams,,Male,Latino,Canadian,2005-03-08,21,186,60,Hazel,Blonde,Dark,A+,Right,Forearm scar,Tribal,Beard,Unknown,Married,715 Main St,Waterloo,Ontario,L74A2,555-7668,Robbery,5,Closed,S. Patel,21,No,Yes,2025-09-27,2025-09-17,2026-04-11,8,MG300036,Synthetic training record
C100037,S200037,Ava,,Patel,,Male,East Asian,Canadian,1963-08-20,63,187,74,Green,Black,Dark,A-,Left,Small scar,Rose,Mustache,Unknown,Married,936 Main St,London,Ontario,L10A7,555-9271,Burglary,4,Under Investigation,J. Carter,0,No,Yes,2024-02-06,2024-01-28,,8,MG300037,Synthetic training record
C100038,S200038,Ava,,Chen,,Female,Indigenous,Canadian,1960-04-27,66,169,110,Hazel,Gray,Light,B+,Right,None,Dragon,Beard,Unknown,Single,252 Main St,London,Ontario,L45A0,555-2272,Vandalism,2,Under Investigation,S. Patel,20,No,No,2025-05-13,2025-05-09,,5,MG300038,Synthetic training record
C100039,S200039,Olivia,,Patel,,Female,East Asian,Canadian,1970-01-06,56,162,90,Brown,Blonde,Light,B+,Left,Forearm scar,Dragon,None,Unknown,Married,362 Main St,Brampton,Ontario,L12A2,555-4579,Cybercrime,1,Closed,A. Brown,20,Yes,Yes,2025-03-28,2025-03-28,2025-04-25,20,MG300039,Synthetic training record
C100040,S200040,Noah,,Williams,,Female,Black,Canadian,1970-10-22,56,177,116,Hazel,Gray,Dark,A-,Right,Small scar,Rose,Beard,Unknown,Married,371 Main St,London,Ontario,L88A7,555-4094,Assault,2,Under Investigation,J. Carter,13,No,Yes,2025-01-01,2024-12-30,,10,MG300040,Synthetic training record
C100041,S200041,Mason,,Lee,,Female,Indigenous,Canadian,1963-01-12,63,168,100,Blue,Red,Light,O+,Left,None,Rose,None,Unknown,Married,962 Main St,Brampton,Ontario,L48A3,555-9723,Burglary,3,Open,A. Brown,17,Yes,Yes,2025-10-10,2025-10-08,,7,MG300041,Synthetic training record
C100042,S200042,Noah,,Williams,,Female,Indigenous,Canadian,1992-01-06,34,170,103,Brown,Gray,Medium,A-,Left,Forearm scar,None,Mustache,Unknown,Single,854 Main St,Brampton,Ontario,L20A1,555-8711,Cybercrime,4,Open,L. Chen,24,Yes,Yes,2026-01-19,2026-01-15,,16,MG300042,Synthetic training record
C100043,S200043,Liam,,Chen,,Male,South Asian,Canadian,1982-07-28,44,150,53,Brown,Black,Medium,A+,Left,Small scar,Rose,Mustache,Unknown,Married,165 Main St,Brampton,Ontario,L40A3,555-3449,Burglary,1,Open,A. Brown,14,No,No,2025-03-25,2025-03-22,,11,MG300043,Synthetic training record
C100044,S200044,Ethan,,Martin,,Female,East Asian,Canadian,1999-03-23,27,152,120,Blue,Red,Light,B+,Left,Small scar,Dragon,Beard,Unknown,Married,430 Main St,Hamilton,Ontario,L79A2,555-2584,Fraud,2,Closed,M. Singh,5,No,No,2024-04-25,2024-04-15,2024-07-28,19,MG300044,Synthetic training record
C100045,S200045,Olivia,,Johnson,,Male,Latino,Canadian,2005-12-10,21,195,94,Green,Black,Medium,A+,Right,Small scar,Dragon,None,Unknown,Married,71 Main St,London,Ontario,L52A9,555-2259,Fraud,1,Open,M. Singh,18,No,No,2025-01-07,2025-01-07,,4,MG300045,Synthetic training record
C100046,S200046,Emma,,Chen,,Male,South Asian,Canadian,1978-05-14,48,179,67,Green,Gray,Medium,A+,Right,Forearm scar,Dragon,Mustache,Unknown,Married,719 Main St,Mississauga,Ontario,L59A0,555-2025,Fraud,1,Open,J. Carter,20,No,Yes,2025-01-16,2025-01-09,,3,MG300046,Synthetic training record
C100047,S200047,Liam,,Martin,,Female,White,Canadian,1980-07-25,46,186,83,Blue,Brown,Light,AB+,Left,Forearm scar,Dragon,None,Unknown,Married,489 Main St,London,Ontario,L75A5,555-3067,Assault,4,Closed,L. Chen,6,Yes,No,2024-04-29,2024-04-21,2024-07-05,13,MG300047,Synthetic training record
C100048,S200048,Noah,,Patel,,Male,South Asian,Canadian,1993-10-25,33,164,113,Blue,Gray,Dark,A+,Right,Forearm scar,Dragon,Mustache,Unknown,Single,298 Main St,Waterloo,Ontario,L63A3,555-3353,Cybercrime,4,Under Investigation,S. Patel,8,Yes,Yes,2025-06-30,2025-06-24,,15,MG300048,Synthetic training record
C100049,S200049,Mason,,Martin,,Female,Middle Eastern,Canadian,1976-03-26,50,183,88,Brown,Black,Dark,A-,Left,Small scar,None,None,Unknown,Single,348 Main St,Waterloo,Ontario,L54A8,555-5848,Fraud,4,Closed,S. Patel,5,No,Yes,2024-10-22,2024-10-17,2025-02-01,15,MG300049,Synthetic training record
C100050,S200050,Lucas,,Singh,,Female,South Asian,Canadian,1958-11-14,68,161,112,Blue,Black,Dark,O+,Left,Small scar,Tribal,None,Unknown,Single,924 Main St,London,Ontario,L17A7,555-9253,Robbery,2,Closed,J. Carter,14,Yes,Yes,2025-12-13,2025-12-03,2026-04-17,8,MG300050,Synthetic training record
